Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
DF,28,3,99,0,0,0,0,0,0,0,0,0,0,17.3,20,441.8,163.6,3.64,3.64,10,12.7,3.64,3.64,0,0,0.91,0,0,0.91,20,0,0,0,0,0,0,0,3.64,0,0,0,0,0
FW,21,4,23,0,6.67,3.33,50,0,0,13,0,0,0,20,40,236.7,80,16.7,23.3,3.33,13.3,0,0,0,0,0,0,0,3.33,40,3.33,6.67,0,0,0,0,0,0,13.3,100,0,0,0
DFMF,24,8,257,0.34,1.72,0.34,20,0.2,1,18.6,0.34,0,0,60,70,1110,363.1,25.5,27.6,27.6,31,5.86,9.66,0,3.1,5.17,1.38,0.69,4.83,70,0,0.69,0,0.34,0.34,0,0,1.72,3.1,100,0,0,0
MF,32,6,139,0,1.33,0,0,0,0,15,0,0,0,26,34.7,457.3,92,12,14,10.7,13.3,2.67,4,0,0,1.33,0,0,2,34.7,0,0,0,0,0,0,0,2,1.33,0,0,0,0
FW,23,5,418,0.22,2.61,1.74,66.7,0.08,0.13,21.9,0.87,0,0,27.6,36.5,477.8,163,12.4,14.3,11.3,12.8,2.61,6.3,0.43,3.7,1.52,1.96,0.43,3.91,36.5,0,0.43,0.87,0,0.43,0,0,0.87,5,78.6,0,0,0
FWMF,23,3,266,0.33,4.33,1.67,38.5,0.08,0.2,17.7,0.67,0,0,24.7,31.7,457.3,121,9.33,12,12.7,15,2.33,4.33,0,2.67,1.33,2,0.33,4,31.7,0,0.67,0.67,0.67,0,0,0,2,5.67,83.3,0.33,0,0
MF,18,5,419,0.21,0.85,0.43,50,0.25,0.5,22.6,0,0,0,34,37,673.8,168.3,11.7,12.6,17.7,18.7,3.83,4.47,0,0.43,4.68,0.43,0,2.77,37,0,0.43,0,0,0,0,0,2.55,0.64,57.1,0,0,0
MFFW,20,5,161,0,0.56,0,0,0,0,17.1,0,0,0,30,34.4,453.3,146.7,17.8,18.3,9.44,11.1,2.22,3.33,0,2.22,3.89,0.56,0,2.78,34.4,0,0.56,0.56,0,0,0,0,0.56,2.22,63.6,0,0,0
DF,26,10,660,0,0.82,0.27,33.3,0,0,14.6,0,0,0,45.1,57.4,800.7,312.7,20.8,23.6,18.6,22.7,4.93,9.32,0,1.64,3.15,2.05,0.82,4.93,57.4,0.14,0.82,0,0,0,0,0,0.96,2.33,45.5,0,0.14,0
DFMF,32,8,681,0,1.32,0.26,20,0,0,18.6,0,0,0,22,34.9,427.8,195.7,9.61,13,8.68,12.2,3.42,8.03,0.13,1.05,3.03,1.84,0.26,5.39,34.9,0.26,1.05,0.13,0,0,0,0,1.32,3.16,28.6,0,0,0
DF,28,10,809,0,0.11,0,0,0,0,11.4,0,0,0,45,51.1,730.7,272.8,22.3,25,19.8,21.7,2.33,3.11,0,0.22,1.67,0.44,0.22,1.56,51.1,0.11,0.33,0,0.11,0,0,0,1.67,0.56,45.5,0,0,0
MFDF,20,11,583,0.15,0.62,0.15,25,0.25,1,13.7,0,0,0,31.2,39.7,472.3,134.6,17.5,20.6,12.3,14.5,0.92,2.77,0,0.46,2.15,0.62,0.31,2,39.7,0,0.77,0.15,0,0,0.15,0,2.31,2.31,50,0,0,0
FWMF,24,8,426,0.64,3.62,1.28,35.3,0.18,0.5,9.3,0,0,0,13.2,16.8,166.4,21.5,8.94,10.6,3.83,5.11,0,0,0,0.21,0.64,0.43,0.21,0.64,16.8,0,0.21,0.43,0.43,0.21,0,0,0.64,5.32,62.5,0,0,0
MF,22,12,1068,0.17,1.26,0.67,53.3,0.13,0.25,23.9,0.25,0,0,48.3,58.9,908,278.4,21.6,23.4,18.9,21.8,7.23,12.2,0.08,2.86,4.87,0.42,0,5.04,58.9,0.17,1.26,0.25,0.25,0.17,0,0,4.12,1.26,47.1,0,0,0
DF,33,12,1080,0,0.58,0.33,57.1,0,0,14.8,0,0,0,42.3,50.8,715.3,346.3,19.7,21.3,18.8,22,3.08,5.83,0,0.25,3.17,0.92,0.25,4.08,50.8,0.17,1,0,0,0.08,0,0,2,1.25,62.5,0,0,0
DF,33,10,761,0,0.24,0,0,0,0,9,0,0,0,45.4,56.1,935.2,366.9,15.9,17.8,22.9,25.4,6.24,11.9,0,0.12,4.59,0.35,0.12,4.71,56.1,0.12,1.53,0,0,0,0,0,2.24,0.47,100,0,0.12,0
DF,25,8,566,0,0,0,0,0,0,0,0,0,0,46.5,49.8,964.8,251,12.4,13.7,25.7,26.5,7.3,8.57,0,0,1.43,0,0,2.86,49.8,0,0.63,0,0,0,0,0,0.95,0.63,100,0,0,0
FWMF,23,10,750,0.6,4.58,1.33,28.9,0.13,0.45,18.3,0,0,0,22.7,29,459.4,123.5,8.67,10.2,9.16,11.2,4.22,5.54,0.48,1.69,2.77,2.29,0.72,4.22,29,0,0.6,0.48,0.36,0.12,0.12,0,0.48,6.63,50,0,0,0
GK,31,7,629,0,0,0,0,0,0,0,0,0,0,16.7,27,690.9,504.3,2.86,2.86,4.43,4.43,9.43,19.7,0,0.14,0.29,0,0,0,27,0.29,1.29,0,0,0,0,0,0,0,0,0,0,0
GK,29,11,990,0,0,0,0,0,0,0,0,0,0,17.4,31.5,700.8,508.3,2,2,6,6.27,9.36,23.1,0,0.27,0.73,0,0,0,31.5,0.18,1.55,0,0,0,0,0,0,0,0,0,0.09,0
MFFW,29,10,787,0.23,1.15,0.46,40,0.2,0.5,21,0,0,0,40.7,47.8,829,260.1,17.7,19.5,14.1,15.6,7.82,10.5,0,0.46,4.37,0.57,0.23,3.68,47.8,0,0.92,0.11,0,0,0,0,2.07,1.61,55.6,0,0.11,0
DF,23,9,810,0,0.44,0,0,0,0,12.8,0,0,0,39.7,50.3,925.2,288.7,9,10.8,21,24.6,8.78,13.4,0,0.33,3.33,0.22,0,3.78,50.3,0,1,0,0.11,0.11,0,0,1.33,0.44,0,0.11,0,0
DF,24,7,620,0,0.29,0.14,50,0,0,18.5,0,0,0,34.9,43.3,724.1,218.7,12.3,13.5,16.1,18.3,6.38,11.2,0,0.29,2.32,0.14,0.14,2.03,43.3,0,0.72,0,0,0,0,0,1.45,0.29,0,0,0,0
DF,31,9,678,0.4,1.2,0.4,33.3,0.33,1,23,0.67,0,0,39.5,46.9,1065.2,362.5,7.73,8.53,19.6,21.7,12.1,16.4,0,0.27,4.4,0.13,0,2.4,46.9,0,1.2,0,0,0,0,0,1.2,0.4,100,0,0,0
DF,29,9,741,0,0.85,0.12,14.3,0,0,26.2,0,0,0,48.2,60.2,857.1,326.3,21.6,23.9,20.9,25.7,5.12,8.05,0.12,0.49,3.29,0.37,0,3.9,60.2,0.12,0.85,0.12,0,0.12,0,0.12,1.22,1.22,85.7,0,0,0
MF,26,7,340,0,0.26,0,0,0,0,26,0,0,0,43.9,51.6,752.6,208.7,22.4,24.5,15,16.6,5,7.37,0.26,2.37,3.16,0.79,0.53,2.37,51.6,0,0.53,0,0,0.26,0,0.26,2.11,0.53,50,0,0,0
MFDF,29,8,573,0,0.31,0.16,50,0,0,20.9,0,0,0,51.1,57.7,930.3,220.2,21.3,22.7,23.3,24.4,5.31,8.91,0,0.31,2.34,0.31,0,2.5,57.7,0.16,0.16,0,0,0,0,0,3.75,0.47,80,0,0,0
FW,20,3,35,0,2.5,0,0,0,0,13.5,0,0,0,27.5,40,352.5,27.5,12.5,12.5,12.5,17.5,0,2.5,0,2.5,0,0,0,0,40,0,0,0,0,0,0,0,2.5,15,0,0,0,0
DF,27,5,335,0,0.54,0,0,0,0,13.5,0,0,0,41.6,48.1,804.3,307.6,17,17,18.9,20.8,5.14,9.46,0.27,0.27,2.43,0.27,0,2.16,48.1,0,0.27,0,0,0,0,0,1.08,0.54,0,0,0,0
GK,30,10,900,0,0,0,0,0,0,0,0,0,0,23.4,32.3,665.1,381,5.3,5.3,10.9,10.9,7.2,16.1,0,0,0.5,0,0,0,32.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
DF,28,9,471,0,0.96,0.38,40,0,0,26.9,0,0,0,39.4,53.5,798.8,326.5,15.4,16.5,16.9,21.3,6.35,12.9,0.38,1.73,3.85,1.35,1.15,5,53.5,0.19,1.35,0,0,0,0,0,2.88,1.92,100,0,0,0
FW,33,10,443,1.02,2.65,2.04,76.9,0.31,0.4,17.2,0,0.2,0.41,9.39,12.7,161.6,35.3,5.1,6.33,2.45,3.67,1.22,2.04,0.2,0.61,0.41,0.41,0,1.43,12.7,0.2,0.61,0,0,0,0,0,0.61,4.69,16.7,0,0,0
MF,20,9,686,0,1.05,0,0,0,0,25.6,0,0,0,60.9,67,1108,191.2,24.7,27.2,27.6,28.9,6.45,7.63,0,0.53,5.53,0.39,0,3.82,67,0,0.13,0,0,0.13,0,0,3.16,0.26,73.3,0,0,0
MFDF,24,9,542,0,1.5,0.67,44.4,0,0,11.6,0,0,0,26.5,36.8,416,134.2,12.8,16.2,9.83,12.5,2,4.83,0.17,0.5,1.67,1.17,0.17,3.33,36.8,0,1,0,0.33,0.17,0,0,4,3.33,37.5,0,0,0
MFDF,27,11,990,0.18,1,0.27,27.3,0.18,0.67,15.7,0,0,0,36.1,42.8,677.5,202.1,13.4,14.9,17.5,19.5,4.55,7.18,0,0.09,2.91,0.55,0,2.64,42.8,0,0.64,0,0,0,0,0,1.36,1.45,40,0,0.18,0.09
GK,33,11,908,0,0,0,0,0,0,0,0,0,0,15.5,25.2,555.1,425,2.28,2.28,5.54,5.54,7.72,17.4,0,0,0.4,0,0,0,25.2,0.1,0.59,0,0,0,0,0,0,0,0,0,0,0
MFFW,22,7,149,0,1.76,0,0,0,0,18.1,0.59,0,0,30.6,44.7,465.3,154.7,17.1,20.6,12.4,16.5,1.18,6.47,0,1.18,2.35,1.18,0,3.53,44.7,0.59,1.76,0,0,0,0,0,5.88,2.94,0,0,0,0
FW,34,11,854,1.26,4.32,2.53,58.5,0.29,0.5,11,0.11,0,0,20.2,26.1,320.5,51.7,11.7,14,5.79,7.37,1.79,2.74,0.42,1.58,1.37,1.47,0.21,2.11,26.1,0.11,0.21,0.21,0.42,0,0.11,0,0.42,7.47,45.5,0,0,0
FW,21,5,100,0,2.73,1.82,66.7,0,0,15,0,0,0,9.09,13.6,163.6,7.27,4.55,5.45,2.73,4.55,1.82,2.73,0,0,0,0,0,0,13.6,0,0,0,0,0,0,0,3.64,4.55,44.4,0,0,0
DF,24,1,8,0,0,0,0,0,0,0,0,0,0,90,110,1630,660,20,20,70,80,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,20,0,0,0,0
DFMF,17,3,38,0,0,0,0,0,0,0,0,0,0,90,97.5,1377.5,262.5,42.5,42.5,40,42.5,5,7.5,0,0,10,0,0,2.5,97.5,2.5,0,0,0,0,0,0,5,2.5,0,0,0,0
FWMF,21,5,212,0,2.5,0.83,33.3,0,0,14.5,0,0,0,11.7,17.1,143.3,22.1,7.5,9.58,3.75,4.58,0,1.25,0.42,1.67,0.42,0.83,0,0.83,17.1,0,0.83,0.42,0,0,0,0,0,7.08,44.4,0,0,0
DF,34,10,611,0,0.74,0.29,40,0,0,16.6,0,0,0,44.6,59.9,853.8,270.6,18.2,20.3,20.9,24.9,5.15,12.8,0,1.47,2.35,1.91,1.18,3.82,59.9,0,0.88,0,0,0.15,0,0,2.35,0.88,66.7,0,0,0
DF,26,11,987,0,0.36,0,0,0,0,18.4,0,0,0,47.1,54.3,1149.2,265.7,7.09,8,28,29.9,11.8,15.5,0,0.27,2.27,0,0,2.27,54.3,0,0.82,0.09,0,0,0,0,1,0.55,100,0,0,0
DF,23,10,691,0.13,0.52,0.39,75,0.25,0.33,15.2,0,0,0,66.9,72.6,1353.6,435.5,21.8,23.2,36.6,38.4,8.18,10.6,0,0.13,4.68,0,0,2.73,72.6,0.13,1.17,0,0,0,0,0,1.04,1.3,0,0,0.13,0
DF,28,3,172,0,0,0,0,0,0,0,0,0,0,61.6,64.7,1245.8,362.6,15.8,16.3,38.9,38.9,6.32,8.95,0,0,4.21,0.53,0,3.16,64.7,0,0,0,0,0,0,0,0.53,0,0,0,0,0
MFFW,22,10,633,0.71,2.57,1.14,44.4,0.28,0.63,21,0.14,0,0,15.6,24.1,234.7,67.3,8.43,11,5.14,7.71,1,3.43,0,0.57,0.29,1.14,0.29,1.57,24.1,0.14,0.57,0.86,0.43,0.29,0.43,0.14,1.14,5.14,44.1,0.14,0,0
MF,27,11,767,0,0.82,0.35,42.9,0,0,18.6,0,0,0,38.5,43.8,725.5,125.4,14.7,16.5,18.4,20.2,4.71,5.53,0,0.94,3.06,0.35,0,2.82,43.8,0.12,0.12,0,0.12,0.12,0,0,2,0.82,12.5,0,0,0
FWMF,29,10,662,0,0.95,0.27,28.6,0,0,18.4,0,0,0,22.7,27.6,366.8,107.4,11.2,12.6,7.84,9.59,2.3,3.51,0,1.35,2.97,0.54,0.14,2.43,27.6,0.27,0.68,0.14,0,0.14,0,0,0.54,1.62,57.1,0,0,0
DF,25,5,324,0,0,0,0,0,0,0,0,0,0,28.6,36.7,517.2,240.3,12.5,13.9,12.5,15.8,3.06,5.28,0,1.67,1.94,1.11,0.83,1.94,36.7,0,1.39,0,0,0,0,0,1.67,0.83,36.4,0,0,0
GK,25,2,180,0,0,0,0,0,0,0,0,0,0,20.5,32,593,432.5,5.5,5.5,8,8.5,6.5,17.5,0,0,1.5,0,0,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0
MFFW,24,5,77,0,1.11,0,0,0,0,12,0,0,0,18.9,26.7,278.9,110,12.2,13.3,3.33,5.56,2.22,6.67,0,0,0,1.11,0,1.11,26.7,0,2.22,0,0,0,0,0,1.11,1.11,50,0,0,0
MF,25,9,560,0.48,2.42,0.81,33.3,0.2,0.6,21.3,0,0,0,25.3,32.4,466.5,124.7,11.3,13.7,10.5,12.4,2.9,4.52,0,1.45,1.94,1.77,0.81,3.55,32.4,0,0.48,0,0.16,0,0,0,1.45,2.9,44.4,0,0,0
FW,,1,17,0,0,0,0,0,0,0,0,0,0,20,20,240,40,15,15,5,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,29,7,630,0,0.86,0,0,0,0,10.7,0,0,0,48.6,57,1065.7,283.3,14,15.7,24.4,26.3,9.71,13.9,0,0,2.14,0.14,0,3.43,57,0.14,1.57,0,0,0,0,0,1.57,1,50,0,0,0
DFMF,27,6,482,0.19,0.56,0.19,33.3,0.33,1,14.2,0,0,0,28.9,35.7,485.6,142.4,13.1,15,11.9,13.1,2.78,5,0,1.48,0.74,0.74,0.37,1.85,35.7,0,0.37,0,0,0,0,0,2.04,1.85,0,0,0,0
GK,35,12,1080,0,0,0,0,0,0,0,0,0,0,25.3,31.4,687.4,375.3,6.5,6.58,9.33,9.42,9,15,0,0,0.5,0,0,0,31.4,0.08,0.67,0,0,0,0,0,0,0,0,0,0,0
MFFW,26,7,497,0.18,2.18,0.55,25,0.08,0.33,20.1,0,0,0,37.3,43.6,648.7,158.9,16.7,18.2,16.2,19.1,3.64,4.91,0,0.55,3.27,1.64,0,4.91,43.6,0,0.18,0,0.18,0,0,0,3.45,2.73,38.5,0,0,0
MF,27,11,864,0.1,0.31,0.1,33.3,0.33,1,19,0,0,0,58.3,62.3,1043.1,252.2,26.4,27.7,25.3,26.9,5.73,6.56,0.1,0.83,6.56,0.31,0,3.96,62.3,0,0.73,0,0.1,0,0,0,2.4,0.73,80,0,0,0
MF,24,9,734,0,0.98,0.24,25,0,0,24,0,0,0,39.9,46.8,732.9,210.1,16.2,18.5,17.7,19.6,4.88,6.95,0,0.73,2.2,0.61,0,4.02,46.8,0,0.61,0,0,0,0,0,1.95,0.37,100,0,0,0
DF,24,8,632,0,0.43,0.14,33.3,0,0,23.7,0,0,0,34,41.4,718.7,267.1,10,10.7,17.7,19.7,6.14,10.1,0.14,0.14,2.71,0,0,3,41.4,0.14,1.14,0,0,0,0,0,2,0.29,100,0,0.14,0
DF,20,12,958,0,0.47,0,0,0,0,23.7,0,0,0,25.8,33.6,434.4,178.2,12.5,14.9,11.2,14.1,1.79,3.68,0,0.38,2.45,0.57,0.28,2.64,33.6,0.19,0.75,0,0.09,0.19,0,0,2.08,0.47,52.6,0,0,0
DF,24,5,356,0,0.75,0,0,0,0,10.2,0,0,0,31.3,42.5,570,122,12.8,14.5,13.8,17.8,3.75,7.75,0,0.5,1,0.25,0.25,0.5,42.5,0.25,1,0,0,0.25,0,0,2,2,50,0,0,0
MFDF,26,11,781,0,0.92,0.23,25,0,0,17.3,0,0,0,44.1,52.1,755.1,177,22.1,24.7,17.5,20,3.91,4.94,0,0.57,5.06,0.92,0,5.29,52.1,0.34,0.57,0.34,0.11,0,0,0,2.53,2.76,54.5,0,0,0
MF,24,12,786,0.11,0.69,0.23,33.3,0.17,0.5,14.4,0,0,0,34,41.4,638.4,190.2,12.9,14.5,15.9,17.7,4.48,7.47,0.23,1.03,3.56,0.92,0.11,4.48,41.4,0,0.69,0,0.11,0,0,0,1.84,2.53,20,0,0,0
FWMF,25,11,578,0.63,1.88,0.94,50,0.33,0.67,11.5,0,0,0,21.4,28.4,337.5,88.8,12.7,15.5,7.34,9.53,0.94,2.5,0.16,1.56,0.63,1.09,0.31,2.34,28.4,0,0.63,0.16,0.47,0.16,0,0,0.16,6.41,66.7,0.16,0,0
GK,32,9,746,0,0,0,0,0,0,0,0,0,0,22,27.3,565.9,364.9,4.94,4.94,10.6,10.6,6.27,11.6,0,0,0,0,0,0,27.3,0.36,0.36,0,0,0,0,0,0,0,0,0,0,0
FW,26,8,405,0.22,3.11,1.11,35.7,0.07,0.2,17.3,0.22,0,0,25.6,32,479.8,131.3,12.2,13.8,8.22,10.7,4,5.78,0.67,2,1.33,1.33,0.22,3.33,32,0.67,0,0.44,0,0,0,0,1.11,2.67,75,0,0,0
DFMF,33,5,420,0.21,0.85,0.43,50,0.25,0.5,11.6,0,0,0,52.6,57.7,1085.7,227.2,14.9,16.2,29.8,30.9,7.45,9.57,0,0,2.55,0,0,1.28,57.7,0,0.21,0,0,0.21,0,0,1.49,1.28,0,0,0,0
GK,40,1,90,0,0,0,0,0,0,0,0,0,0,22,29,525,235,5,5,10,11,7,13,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,24,9,810,0,0.22,0.11,50,0,0,22.8,0,0,0,54.6,62,1002.3,340.2,23.1,25,23.6,26,6.67,8.78,0,1.44,8,0.78,0.22,6.33,62,0.11,1,0,0,0,0,0,1.78,0.56,30,0,0,0
GK,27,9,810,0,0,0,0,0,0,0,0,0,0,25.3,32.4,700.7,404,4.33,4.56,13.3,13.4,7.67,14.4,0,0,0.67,0,0,0,32.4,0.11,1,0,0,0,0,0,0,0,0,0,0,0
MF,26,10,399,0.23,2.27,0.68,30,0.1,0.33,20.4,0.45,0,0,62.3,74.5,1448,341.4,20,21.8,26.1,29.1,15.2,21.4,0.23,0.91,8.64,0.91,0.23,6.36,74.5,0.45,1.14,0,0,0,0,0,2.05,1.14,0,0,0,0
MF,20,9,541,0,0.83,0,0,0,0,22.2,0,0,0,30.3,35.3,588.7,116.7,11.8,13.2,14.3,15.8,4.17,5.67,0,0.67,2.83,0.17,0.17,1.83,35.3,0,0,0,0.17,0,0,0,3,0.67,50,0,0,0
MF,36,11,969,0,0.93,0.19,20,0,0,14.2,0,0,0,25.4,35,488.4,138.1,10.5,13,9.91,13.4,4.17,6.76,0,0.19,2.69,0.37,0.19,3.06,35,0,1.2,0,0.09,0.09,0,0,2.31,1.3,50,0,0.09,0
DF,24,11,727,0,0.62,0.12,20,0,0,19.2,0,0,0,40.6,48.6,624.2,224.7,22.6,24.4,15.7,18.5,1.36,2.72,0,1.11,1.85,1.11,0.49,3.95,48.6,0,0.49,0,0.25,0.12,0,0,1.11,0.99,60,0,0,0
DF,22,1,90,0,0,0,0,0,0,0,0,0,0,54,64,1031,331,19,23,29,30,6,10,0,0,3,0,0,4,64,0,1,0,0,0,0,0,2,0,0,0,0,0
MF,24,11,567,0.16,3.49,0.48,13.6,0.05,0.33,20.4,0,0,0,32.9,40.3,588.7,154.6,14.3,15.6,11.7,14.1,4.76,7.3,0.16,1.9,2.86,1.75,0.16,3.81,40.3,0.32,0.79,0.32,0,0.48,0.16,0,1.27,3.17,66.7,0,0,0
FW,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,29,9,531,0,1.53,0.34,22.2,0,0,15.1,0,0,0,11.7,17.8,170.3,34.6,6.78,9.49,3.73,5.76,0.68,1.69,0,0.51,0.85,0.17,0,0.85,17.8,0,0.51,0.34,0.17,0.17,0,0,0.34,3.56,41.2,0,0,0
FW,27,10,479,0.38,4.53,1.51,33.3,0.08,0.25,16.4,0,0,0,20.9,28.7,323.8,93.8,11.5,14.3,7.17,9.62,1.32,2.45,0.19,2.83,0.94,2.26,1.51,2.64,28.7,0,0.75,0.57,0,0,0,0,0.94,6.79,68.8,0,0,0
MF,23,3,14,0,0,0,0,0,0,0,0,0,0,25,40,555,255,10,15,10,10,5,15,0,0,5,0,0,0,40,0,0,0,0,0,0,0,5,0,0,0,0,0
MF,24,6,291,0,1.56,0.94,60,0,0,18.2,0,0,0,43.4,49.4,916.3,195.3,15.3,17.8,18.1,18.8,9.06,11.3,0,1.25,5.94,0.63,0,5,49.4,0.31,0.31,0,0,0.31,0,0,3.75,1.56,83.3,0,0,0
DF,24,8,695,0,0.39,0.13,33.3,0,0,10.3,0,0,0,42.6,48.7,845.5,298.2,15.1,16.2,20.6,22.3,5.97,8.44,0,0.13,2.47,0.13,0,2.6,48.7,0.13,0.65,0,0,0,0,0,1.95,0.65,100,0,0,0
DF,27,7,592,0,1.36,0.61,44.4,0,0,26.8,0.3,0,0.15,52.3,68.8,1006.8,392.6,22.1,23.8,22,26.5,7.73,17.1,0.15,1.97,2.42,1.36,1.21,3.18,68.8,0.61,1.36,0.15,0.3,0,0,0,2.58,1.52,66.7,0.15,0,0
FW,35,11,360,0.25,3,2,66.7,0.08,0.13,14.9,0,0,0,9.5,14.8,132.8,31.8,5.75,8,3,4,0.5,1.25,0,0.5,0.5,0.25,0,1,14.8,0.25,0.25,0.5,0.5,0,0,0,0.5,7.5,38.5,0,0,0
MF,24,11,668,0.14,0.95,0.41,42.9,0.14,0.33,25.2,0.14,0,0,44.5,56.1,897.4,203.8,15.9,18.6,18.9,21.6,8.11,13.2,0.14,1.35,2.57,0.68,0.14,3.38,56.1,0,0.95,0,0,0,0,0,2.03,0.54,63.6,0,0,0
FW,29,3,225,0.4,2.8,1.2,42.9,0.14,0.33,9.5,0,0,0,12.8,18,162,24.4,8,9.6,3.2,3.6,0.4,1.2,0.4,0.8,0.4,2.4,0,2.8,18,0,0.4,0.4,0,0,0.4,0,0,7.2,80,0,0,0
DF,19,11,990,0.09,0.36,0.18,50,0.25,0.5,11.4,0,0,0,63,69.4,1207.6,420.5,21.7,22.9,33.7,36.5,6.91,8.55,0,0,4.64,0.09,0,4.45,69.4,0.09,0.45,0,0,0,0,0,1.09,0.91,100,0,0,0
FW,25,11,927,0.49,2.33,0.87,37.5,0.13,0.33,18.5,0,0.19,0.19,14.5,21,240.9,53.2,8.06,10.3,4.17,6.31,1.65,2.91,0.1,0.78,0.58,0.58,0.29,1.46,21,0,0.78,0.58,0.19,0,0,0,0.58,4.56,52,0,0,0
MF,26,10,745,0.12,1.2,0.24,20,0.1,0.5,19.5,0.12,0,0,49.2,55.7,991.6,168.8,16.3,18,25.1,27,7.23,9.64,0,1.33,3.49,0.6,0.12,2.77,55.7,0.24,0.6,0,0.12,0.12,0,0,1.93,1.69,66.7,0,0,0
GK,23,4,360,0,0,0,0,0,0,0,0,0,0,29.5,32.8,809.8,442.8,5.75,5.75,15.3,15.3,8.5,11.5,0,0,0,0,0,0,32.8,0,0.75,0,0,0,0,0,0,0,0,0,0,0
GK,30,1,90,0,0,0,0,0,0,0,0,0,0,35,44,946,619,11,11,11,12,13,21,0,0,1,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0
DF,26,10,876,0,0.21,0.21,100,0,0,15,0,0,0,33,38.7,718.8,218,8.45,9.28,16.4,18.7,6.7,8.97,0,0.31,1.65,0.21,0,1.34,38.7,0,1.03,0,0,0,0,0,1.03,0.31,100,0,0,0
DF,25,5,127,0,2.14,0.71,33.3,0,0,20.3,0,0,0,30,43.6,540.7,193.6,10,11.4,14.3,19.3,4.29,9.29,0,0,2.14,0,0,1.43,43.6,0,1.43,0,0,0,0,0,3.57,1.43,100,0,0,0
DF,29,8,363,0,1,0,0,0,0,25.7,0.5,0,0,34.5,49.5,687.3,312.5,14.3,15.5,14.3,17.8,5.5,12.3,0,1.5,3,0.75,0.5,2.5,49.5,0.25,1.25,0,0.25,0,0,0,1.5,0.5,16.7,0,0,0
MF,32,10,291,0,0.63,0,0,0,0,37.7,0.63,0,0,44.1,52.2,839.1,226.3,20,21.3,15.6,16.6,6.88,11.9,0,1.56,3.44,0.63,0.31,4.38,52.2,0,0.63,0,0.31,0,0,0,1.56,2.5,42.9,0,0,0
MF,27,5,165,0,1.67,0.56,33.3,0,0,17,0,0,0,17.2,27.8,253.3,93.3,7.78,8.89,8.33,12.8,0.56,3.89,0,0.56,1.11,0,0,1.67,27.8,0,1.67,0,0,0,0,0,1.11,1.11,66.7,0,0,0
MF,23,11,986,0.36,1.55,0.45,29.4,0.06,0.2,28.7,0.18,0.27,0.27,51.2,58.6,989.7,211.4,20.3,22.3,24.4,25.9,6,8,0,0.55,4.82,0.55,0,4.09,58.6,0,0.64,0,0,0.09,0,0,2.45,0.36,66.7,0,0,0.09
DF,29,10,747,0.12,0.72,0.12,16.7,0.17,1,20.7,0,0,0,31.7,37.7,529.6,120.1,16.3,17.1,11.8,14.1,2.77,4.58,0.12,0.72,1.08,1.2,0.84,1.45,37.7,0.12,0.84,0,0.48,0.12,0,0,2.17,1.57,50,0.12,0,0
MFFW,25,10,894,0.61,3.13,1.21,38.7,0.19,0.5,20.5,0.61,0,0,37.9,49.2,730.2,191.1,14.5,16.3,17.4,20.7,5.45,10.2,0.2,2.02,4.75,1.21,0.2,4.34,49.2,0.2,0.61,0.4,0.3,0,0,0,1.92,4.14,61.1,0,0,0
DF,25,10,493,0,1.09,0.18,16.7,0,0,14.4,0,0,0,45.8,55.5,721.6,300.9,25.3,27.6,17.8,20.4,2.18,4.36,0.18,1.45,2,2,0.18,6,55.5,0.18,0.73,0,0,0.18,0,0,1.64,3.09,25,0,0,0
DF,25,11,990,0.09,0.45,0.09,20,0.2,1,14.3,0,0,0,26.1,37,501.5,208.6,11.2,12.6,10.8,15,3.82,8.09,0,0.82,1.55,0.64,0.45,2.55,37,0,0.45,0.09,0.18,0,0,0,1.82,1.73,52.6,0,0,0
MF,19,1,74,0,0,0,0,0,0,0,0,0,0,30,36.3,623.8,171.3,15,15,7.5,8.75,7.5,12.5,0,0,2.5,0,0,3.75,36.3,1.25,0,0,0,0,0,0,6.25,0,0,0,0,0
MF,24,8,563,0,0.63,0,0,0,0,17.9,0,0,0,40.5,52.4,759.7,188.9,16.3,20.8,18.6,20.8,4.92,8.73,0,0.32,4.92,1.9,0,5.71,52.4,0.32,1.59,0,0.16,0,0,0,1.9,0.79,33.3,0,0.16,0
