Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
DF,21,8,517,0,0.53,0.18,33.3,0,0,14.7,0,0,0,39.3,49.3,736.7,249.3,14.4,15.3,20.2,23.9,4.04,8.6,0,0.53,2.81,0.7,0,2.98,49.3,0.18,0.88,0,0,0,0,0,3.68,0.53,60,0,0,0
DF,24,5,420,0,0.21,0,0,0,0,5,0,0,0,33,41.5,634.7,267.7,13.8,15.3,14.9,17.7,3.83,6.6,0,0,2.77,0,0,2.34,41.5,0,0.64,0,0,0,0,0,1.28,1.06,60,0,0.21,0
FW,28,7,339,0.26,2.89,0.79,27.3,0,0,15.1,0.26,0.26,0.26,24.7,32.9,351.1,29.2,14.7,18.4,7.37,10,1.05,1.84,0,1.58,0.79,0.53,0,0.79,32.9,0,0.26,0,0,0,0,0,0.26,6.32,0,0,0,0
DF,27,5,450,0,0.6,0,0,0,0,12.7,0,0,0,65.8,70.4,1256,363.4,24.8,26,32.8,34.4,7.4,9.2,0,0,3.2,0,0,2.8,70.4,0,0.8,0,0,0,0,0,2.2,0.8,66.7,0,0,0
DF,27,7,481,0,0.57,0,0,0,0,10.6,0,0,0,89.2,96,1698.5,568.1,30,31.7,48.7,51.1,8.49,10.2,0,0.19,6.6,0,0,3.4,96,0,0.57,0,0,0,0,0,0.94,1.51,0,0,0,0
DF,24,11,990,0,1.27,0.45,35.7,0,0,22.7,0,0,0,33,41.5,591.9,227.2,15.3,17.5,13.1,15.4,4,7.27,0,0.64,1.73,0.82,0.64,1.82,41.5,0.45,0.55,0.09,0.09,0.09,0,0,2.18,1.36,60,0,0,0
MFFW,20,4,174,0,0.53,0.53,100,0,0,8.1,0,0,0,28.9,37.9,417.4,98.4,17.9,20.5,10.5,14.2,0.53,1.05,0,2.63,1.05,1.58,0.53,3.68,37.9,0.53,0,0,0,0.53,0,0,3.16,4.21,28.6,0,0,0
MF,24,4,117,0,0.77,0.77,100,0,0,23,0,0,0,46.9,49.2,944.6,176.9,20,20.8,13.8,13.8,13.1,13.8,0,0,5.38,0.77,0,2.31,49.2,0,0,0,0,0,0,0,3.08,0,0,0,0,0
MF,30,2,58,0,1.67,0,0,0,0,21.2,0,0,0,25,28.3,413.3,115,11.7,11.7,11.7,13.3,1.67,1.67,0,1.67,0,1.67,0,1.67,28.3,0,0,0,0,0,0,0,1.67,0,50,0,0,0
DF,27,9,577,0,0.16,0,0,0,0,9,0,0,0,32.7,41.3,680,255.3,10.8,12.3,16.3,17.7,5.31,9.69,0,0.16,3.44,0.31,0,3.44,41.3,0,1.41,0,0,0,0,0,4.22,0.78,50,0,0,0
DF,30,11,895,0.1,1.01,0.1,10,0.1,1,20.7,0.51,0,0,50.4,56.6,876.2,279.8,25.1,26.2,19.5,21.1,5.05,7.58,0.3,1.01,4.04,0.4,0.1,2.73,56.6,0.4,1.01,0,0,0,0,0,0.61,1.52,50,0,0,0
MF,23,4,223,0,0.8,0.4,50,0,0,36,0,0,0,30,38,768.8,176.8,7.2,9.2,12.8,16,9.2,12,0,0.4,3.2,0.4,0,4,38,0,0.8,0,0.4,0,0,0,1.6,0.8,50,0,0,0
FW,30,6,220,0.42,3.33,0.83,25,0.13,0.5,14.3,0,0,0,15.8,18.3,233.3,26.7,8.33,10.4,6.67,7.08,0.42,0.42,0,0.42,1.25,0,0,0.42,18.3,0,0,0.42,0,0,0,0,2.08,6.67,66.7,0,0,0
DF,33,7,412,0,0.87,0,0,0,0,23.3,0,0,0,91.5,104.1,1590.7,497,45.4,50.9,34.3,36.3,9.13,12.6,0.22,2.17,11.3,2.83,0.87,8.26,104.1,0,0.65,0.22,0,0,0,0,1.09,2.17,33.3,0,0,0
MF,30,10,379,0.71,1.67,1.19,71.4,0.43,0.6,17.6,0,0,0,49,61.7,848.8,279.8,23.1,26,18.1,21.9,5.71,10,0,2.14,3.57,2.62,0,6.19,61.7,0.48,1.19,0.24,0,0,0,0,1.67,2.62,44.4,0,0,0
DF,37,11,979,0,0.09,0,0,0,0,30,0,0,0,51.6,58.1,1259.1,343.2,8.81,9.45,28.5,30.2,13.5,17.4,0,0,2.84,0.37,0,3.03,58.1,0.18,0.83,0,0,0,0,0,1.1,0.28,0,0,0,0
MF,32,2,18,0,5,0,0,0,0,9.4,0,0,0,45,75,525,135,35,55,10,20,0,0,0,0,0,0,0,0,75,5,0,0,0,0,0,0,0,10,0,0,0,0
MF,31,5,374,0,0.24,0,0,0,0,32.4,0,0,0,61.7,72.1,1228.6,365.2,23.8,25.5,25,28.1,10,13.8,0,1.19,6.9,0.71,0,8.1,72.1,0.24,1.19,0,0,0.24,0,0,2.38,0.24,75,0,0.24,0
MF,31,7,408,0,2,0,0,0,0,22.1,0.22,0,0,32,40.4,745.6,188.9,10,12.4,14.4,16.7,7.56,10.9,0,1.11,4,0.44,0.22,2.89,40.4,0,0.89,0,0,0,0,0,2,1.11,50,0,0,0
MFFW,27,9,558,0,1.13,0.16,14.3,0,0,24.4,0,0,0,14.7,24.2,246.8,74.4,8.55,11.6,4.52,7.42,1.45,3.71,0,0.81,0.65,0.97,0.81,0.48,24.2,0.16,0.32,0,0.16,0,0,0,3.06,1.94,33.3,0,0,0
GK,19,3,225,0,0,0,0,0,0,0,0,0,0,20,29.2,659.2,496.4,3.6,3.6,7.2,7.2,9.2,18.4,0,0,0.4,0,0,0,29.2,0.4,1.6,0,0,0,0,0,0,0,0,0,0,0
MF,24,10,769,0.24,1.41,0.47,33.3,0.17,0.5,22.7,0,0,0,26.9,35.3,492.4,112.1,11.4,13.3,11.6,13.6,3.18,5.65,0.12,0.47,3.29,0.47,0,2.94,35.3,0.12,0.59,0,0.12,0,0,0,0.82,0.94,63.6,0,0,0
DF,24,11,735,0.12,1.59,0.37,23.1,0.08,0.33,20.9,0.12,0,0,64,89,1450.5,668,21.6,24.3,26.7,33,15,29.3,0,2.56,7.8,4.02,1.34,9.63,89,0.85,1.71,0,0,0,0,0,1.46,2.07,50,0,0,0
MF,20,1,15,0,0,0,0,0,0,0,0,0,0,5,5,25,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,23,5,224,0,0.4,0,0,0,0,35.5,0,0,0,31.6,38.4,521.2,98.4,15.6,18.4,11.2,12,3.6,5.6,0,0.8,2.8,0.4,0.4,2,38.4,0,0.4,0,0,0,0,0,4,0,100,0,0,0
FW,18,7,243,0,3.33,1.85,55.6,0,0,19.3,0,0,0,11.5,18.5,177.8,51.9,7.41,9.63,2.59,4.44,1.11,3.33,0.74,1.85,0.74,1.48,0.74,1.11,18.5,0,1.11,0,0.74,0.37,0,0,1.85,5.19,60,0.37,0,0
DFFW,21,7,116,0,1.54,0,0,0,0,17.5,0,0,0,31.5,40.8,503.8,182.3,16.2,17.7,11.5,15.4,3.85,6.15,0,0.77,3.08,3.08,0.77,4.62,40.8,0,2.31,0.77,0,0,0,0,6.15,1.54,50,0,0,0
GK,30,11,990,0,0,0,0,0,0,0,0,0,0,29.5,34.6,785.8,415.4,4.64,4.64,15.9,16.1,8.64,13.5,0.09,0.09,0.27,0,0,0,34.6,0,0.55,0,0,0,0,0,0,0,0,0,0,0
FWMF,27,10,488,0.19,2.04,0.56,27.3,0.09,0.33,15,0,0,0,23.1,29.6,345.4,47.6,14.8,18.3,5.93,6.85,1.48,2.22,0,0.37,2.41,0.37,0,1.11,29.6,0,0.56,0,0,0,0,0,1.85,5.56,53.3,0,0,0
FWMF,26,2,40,0,0,0,0,0,0,0,0,0,0,27.5,32.5,330,57.5,17.5,22.5,7.5,7.5,0,0,0,0,5,0,0,2.5,32.5,0,2.5,0,0,0,0,0,2.5,7.5,33.3,0,0,0
MFFW,22,8,455,0.2,0.78,0.78,100,0.25,0.25,22.5,0,0,0,31,39.4,541.6,155.9,14.9,17.5,12.7,15.1,3.14,6.47,0.39,1.37,2.35,1.76,0.39,3.53,39.4,0,0.98,0,0,0,0,0,1.57,1.37,44.4,0,0,0
FW,28,12,1000,0.54,2.79,0.81,29,0.19,0.67,16.7,0,0,0,27.7,33.2,418.2,111.4,16,17.5,9.01,11.2,1.89,2.7,0,0.63,1.62,1.44,0.27,3.51,33.2,0.18,0.45,0.27,0.09,0.09,0.09,0.09,1.71,6.49,51.7,0,0,0
DF,31,4,221,0,0,0,0,0,0,0,0,0,0,76.4,81.6,1654,503.6,22,22.8,39.6,41.2,14,16.4,0,0,5.2,0.4,0,2.4,81.6,0,0.8,0,0,0,0,0,0.8,0,100,0,0,0
DF,33,10,639,0,0.7,0,0,0,0,19.1,0,0,0,35.4,52.5,610.6,293.4,18.2,20.1,12.8,18.5,3.8,11.4,0,0.99,2.39,0.99,0.28,4.23,52.5,0.28,2.25,0,0,0,0,0,1.83,0.85,57.1,0,0,0
DF,22,5,404,0.44,0.44,0.44,100,1,1,8.1,0,0,0,18.9,26.7,374.9,183.6,6.22,7.56,9.56,12,3.11,6.22,0,0,1.78,0,0,2.44,26.7,0,0.67,0,0,0,0,0,3.11,0.89,50,0,0,0
FW,22,9,220,0.83,2.92,1.67,57.1,0.29,0.5,15.1,0,0,0,31.3,36.3,517.5,74.6,17.1,18.3,10.8,12.9,2.92,3.33,0,1.25,2.5,0.83,0,2.92,36.3,0,0,0.83,0,0,0,0,1.67,5.42,100,0,0,0
FWMF,21,7,88,1,6,3,50,0.17,0.33,15.8,0,0,0,21,25,327,53,10,11,5,6,2,3,1,1,1,1,0,2,25,0,0,0,0,0,0,0,1,4,0,0,0,0
DF,27,9,786,0,0.57,0,0,0,0,17.6,0,0,0,45.6,54.5,1030.7,339.3,13.1,14,23.1,26.1,8.97,13.3,0.11,0.57,5.4,0.34,0.23,4.37,54.5,0,1.15,0,0,0,0,0,1.72,1.03,100,0,0,0
DFMF,29,4,221,0,0.8,0,0,0,0,23.5,0,0,0,30.4,34.8,586.4,164,8.4,9.6,19.2,19.6,2.8,4.8,0,0,1.6,0,0,1.6,34.8,0,0,0,0,0,0,0,1.6,0.4,0,0,0.4,0
DF,27,9,645,0,0.14,0,0,0,0,38.2,0,0,0,60.1,66.1,1159.6,382.9,23.3,24.9,28.8,30.8,7.78,10,0,0.42,5,0,0,3.33,66.1,0.14,0.69,0,0,0,0,0,1.25,0.69,50,0,0,0
FWMF,26,4,180,0,2.5,0.5,20,0,0,15.2,0,0,0,14,22,184.5,43.5,9.5,12.5,4.5,7.5,0,0.5,0,0.5,1,1,0,1.5,22,0,2,1,0.5,0,0.5,0,2.5,5.5,83.3,0.5,0,0
DF,28,1,8,0,0,0,0,0,0,0,0,0,0,20,30,200,100,20,20,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,24,4,200,0,1.82,0,0,0,0,19.6,0,0,0,35.5,47.3,625,275,19.1,20,11.4,15.5,4.55,9.09,0.45,1.36,3.64,0.45,0,3.64,47.3,0,1.36,0,0,0,0,0,1.36,4.55,66.7,0,0,0
